Model info
 
	A	B
1	Model Information Output	
2		
3	Model title	SAINT PETER SHAFT 0
4	User interface	Structural
5	Units	kN,m,t,s,C
6	LUSAS version	17.0-4c1
7	Date	04/11/19
8	Time	11:48
9	Analysis category	3D
10	Vertical axis	Z
11	Transformation	Local
12	Results file 1	
13	  Name	SAINT PETER SHAFT 13~Analysis 1.mys
14	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
15	  Created	30/10/19 15:56
16	  Solver version	17.0-3
17	Results file 2	
18	  Name	SAINT PETER SHAFT 13~Analysis 2.mys
19	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
20	  Created	30/10/19 17:44
21	  Solver version	17.0-3
22	Results file 3	
23	  Name	SAINT PETER SHAFT 13~Analysis 3.mys
24	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
25	  Created	30/10/19 18:00
26	  Solver version	17.0-3
27	Results file 4	
28	  Name	SAINT PETER SHAFT 13~Analysis 4.mys
29	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
30	  Created	31/10/19 09:16
31	  Solver version	17.0-3
32	Results file 5	
33	  Name	SAINT PETER SHAFT 13~Analysis 5.mys
34	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
35	  Created	31/10/19 10:29
36	  Solver version	17.0-3
37	Results file 6	
38	  Name	SAINT PETER SHAFT 13~Analysis 6.mys
39	  Path	C:\Users\m.landais\Desktop\SAINT PETER SHAFT\LUSAS MODEL\MODEL C\Associated Model Data\SAINT PETER SHAFT 13
40	  Created	30/10/19 22:02
41	  Solver version	17.0-3
42	Notes	
92:Long Term S - Results - 25:Increment 25
 
	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
1	Feature	Node	X	Y	Z	Fx[kN]	Fy[kN]	Fz[kN]	Mx[kN.m]	My[kN.m]	Mz[kN.m]
2	Line 25104	3551	8.9	7.01648E-15	-65.7	-56.0008	-107.707	-676.92	0.0	2.79967	-1.3727E-3
3	Line 25104	3552	9.665	7.01648E-15	-65.7	-56.0008	-107.707	-676.92	0.0	2.79967	-1.3727E-3
4	Line 25104	3617	8.9	12.2246	-65.7	67.5352	-775.904	-1.20389E3	0.0	167.619	-3.95206E-3
5	Line 25104	3586	8.9	6.11244	-65.7	-7.0406	-520.887	-1.53373E3	0.0	97.6429	-1.37522E-3
6	Line 25104	3591	9.665	6.11244	-65.7	-7.0406	-520.887	-1.53373E3	0.0	97.6429	-1.37522E-3
7	Line 25104	3655	8.9	18.3371	-65.7	23.5899	-326.771	-224.591	0.0	60.6422	-8.88324E-3
8	Line 25104	3627	9.665	12.2246	-65.7	67.5352	-775.904	-1.20389E3	0.0	167.619	-3.95206E-3
9	Line 25104	3676	9.665	18.3371	-65.7	23.5899	-326.771	-224.591	0.0	60.6422	-8.88324E-3
10	Line 25108	3511	8.9	-7.74887	-65.7	3.15368	39.1148	-153.244	0.0	-2.63896	-0.281795E-3
11	Line 25108	3551	8.9	7.01648E-15	-65.7	-56.0008	-107.707	-676.92	0.0	2.79967	-1.3727E-3
12	Line 25108	3499	9.665	-7.74887	-65.7	3.15368	39.1148	-153.244	0.0	-2.63896	-0.281795E-3
13	Line 25108	3552	9.665	7.01648E-15	-65.7	-56.0008	-107.707	-676.92	0.0	2.79967	-1.3727E-3
14	Line 25109	3646	8.9	161.663	-65.7	5.03194	338.332	-61.7124	0.0	17.723	0.727526E-3
15	Line 25109	3668	9.665	161.663	-65.7	5.03194	338.332	-61.7124	0.0	17.723	0.727526E-3
16	Line 25109	3616	8.9	167.775	-65.7	34.7151	726.087	-1.0717E3	0.0	9.31497	-3.07081E-3
17	Line 25109	3584	8.9	173.888	-65.7	-28.7878	459.924	-1.56774E3	0.0	35.829	-1.14937E-3
18	Line 25109	3623	9.665	167.775	-65.7	34.7151	726.087	-1.0717E3	0.0	9.31497	-3.07081E-3
